,Long,Short
2019-03-14,-0.0016643327355730596,1.0
2019-03-15,0.0010041360276364264,1.0
2019-03-18,0.0020764486045547147,1.0
2019-03-19,-0.004798095663279644,1.0
2019-03-20,-0.003573936792481902,1.0
2019-03-21,0.013537536087743707,1.0
2019-03-22,-0.006847835812243863,1.0
2019-03-25,0.0012896598740550712,1.0
2019-03-26,0.004780793188028487,1.0
2019-03-27,-0.0006431147311665053,1.0
2019-03-28,0.0038979137042232438,1.0
2019-03-29,0.0043859778800979686,1.0
2019-04-01,-0.0004935442479618302,1.0
2019-04-02,-0.003643240992958563,1.0
2019-04-03,-0.004744840371667736,1.0
2019-04-04,0.0038039095883120933,1.0
2019-04-05,0.0022913985072959497,1.0
2019-04-08,0.002735239778509091,1.0
2019-04-09,-0.002913782050704916,1.0
2019-04-10,0.0004602478806813304,1.0
2019-04-11,0.0012425664539942871,1.0
2019-04-12,0.0038818339787137666,1.0
2019-04-15,-0.0005587260282057804,1.0
2019-04-16,-0.004235853121611455,1.0
2019-04-17,-0.002893326735005497,1.0
2019-04-18,-0.001286509050014617,1.0
2019-04-22,0.0010377924237555346,1.0
2019-04-23,-0.0009109898732630572,1.0
2019-04-24,-0.002610855230609899,1.0
2019-04-25,0.0015718613630191004,1.0
2019-04-26,0.002112422369993161,1.0
2019-04-29,-0.004390077271661552,1.0
2019-04-30,0.004792670884715855,1.0
2019-05-01,-0.00633650696928445,1.0
2019-05-02,0.002501033276095732,1.0
2019-05-03,0.007532954269848268,1.0
2019-05-06,0.004524680651506163,1.0
2019-05-07,-0.005918719471450029,1.0
2019-05-08,-0.002313242865242304,1.0
2019-05-09,0.004259491990846864,1.0
2019-05-10,0.007387544215062958,1.0
2019-05-13,-0.0013874371982524835,1.0
2019-05-14,0.0027812770211689598,1.0
2019-05-15,0.003028015394917494,1.0
2019-05-16,0.005225284625389515,1.0
2019-05-17,0.00564832774304842,1.0
2019-05-20,-0.003984304327405042,1.0
2019-05-21,-0.0016669089184594532,1.0
2019-05-22,0.00044700724739106247,1.0
2019-05-23,0.002678459359500729,1.0
2019-05-24,0.0002028962781162269,1.0
2019-05-28,-0.011653406354096518,1.0
2019-05-29,-0.0036395661608125017,1.0
2019-05-30,8.372910530685118e-07,1.0
2019-05-31,-0.005992994687082987,1.0
2019-06-03,0.008194029687735305,1.0
2019-06-04,0.002135441933845039,1.0
2019-06-05,0.003948721204794936,1.0
2019-06-06,0.002640738909091933,1.0
2019-06-07,-0.001991101293523467,1.0
2019-06-10,-0.0023122989239347524,1.0
2019-06-11,-0.0037219855286878545,1.0
2019-06-12,-0.00200628667809184,1.0
2019-06-13,-0.002008512581847366,1.0
2019-06-14,-0.0024701090934654,1.0
2019-06-17,-0.004274909959005024,1.0
2019-06-18,0.001093119638968487,1.0
2019-06-19,0.00291825200048903,1.0
2019-06-20,-0.0016847003804365212,1.0
2019-06-21,-1.1553680614007078e-05,1.0
2019-06-24,-0.0024429965418578336,1.0
2019-06-25,-0.006323530555266322,1.0
2019-06-26,-0.010747137012553597,1.0
2019-06-27,-0.0009826850282727228,1.0
2019-06-28,0.009260981842117433,1.0
2019-07-01,-0.0026586571199300746,1.0
2019-07-02,0.0010213514115693712,1.0
2019-07-03,0.006363377799760217,1.0
2019-07-05,0.005595428143869219,1.0
2019-07-08,0.00020571449590877088,1.0
2019-07-09,0.00028056488811472046,1.0
2019-07-10,-0.0015788614728238337,1.0
2019-07-11,0.0005889479088028726,1.0
2019-07-12,-0.00030467339899459267,1.0
2019-07-15,0.002751943178006011,1.0
2019-07-16,-0.0014832562351087208,1.0
2019-07-17,-0.005992006398923578,1.0
2019-07-18,0.004854991680310383,1.0
2019-07-19,-0.009683992723316848,1.0
2019-07-22,-0.0006913624699586452,1.0
2019-07-23,-0.0024285249276132514,1.0
2019-07-24,-0.0012556622918431625,1.0
2019-07-25,-0.00478944814061133,1.0
2019-07-26,0.0052824280571497125,1.0
2019-07-29,-0.008555678115883026,1.0
2019-07-30,0.006568738306209909,1.0
2019-07-31,-0.011379927986987236,1.0
2019-08-01,-0.015344151197476674,1.0
2019-08-02,-0.0007052866941538837,1.0
2019-08-05,-0.011163285737551053,1.0
2019-08-06,0.0024958817281455214,1.0
2019-08-07,0.0008750761955314878,1.0
2019-08-08,0.002805551628438441,1.0
2019-08-09,-0.0003801093315677573,1.0
2019-08-12,-0.003334843540738175,1.0
2019-08-13,0.00836849911010452,1.0
2019-08-14,-0.008999015709652914,1.0
2019-08-15,0.009954490494354883,1.0
2019-08-16,0.004393829393577164,1.0
2019-08-19,0.0028341575730193693,1.0
2019-08-20,-0.0068193056784298985,1.0
2019-08-21,0.0026033049347203518,1.0
2019-08-22,0.0014607691850008764,1.0
2019-08-23,-0.012358337220525362,1.0
2019-08-26,-0.0006985401320053874,1.0
2019-08-27,-0.0026446885208456393,1.0
2019-08-28,0.0010015856170883298,1.0
2019-08-29,0.0018792328712432527,1.0
2019-08-30,-0.0007193892932594315,1.0
2019-09-03,-0.0008229928759717397,1.0
2019-09-04,0.0062594660617239836,1.0
2019-09-05,-0.004804305964522737,1.0
2019-09-06,-0.0013658414178532973,1.0
2019-09-09,-0.01049902848735571,1.0
2019-09-10,-0.000375470566818803,1.0
2019-09-11,0.003242799710057509,1.0
2019-09-12,0.002596785870269747,1.0
2019-09-13,-0.0030525088735359196,1.0
2019-09-16,-0.0022874965583213557,1.0
2019-09-17,0.0012376362446294919,1.0
2019-09-18,0.0033901437390148393,1.0
2019-09-19,0.001600959782274769,1.0
